AB,MCTS,A0G1,A0G2
25.0,25.0,25.0,25.0
27.708162940907613,22.520355104066258,32.99956085103299,15.78918656985553
23.861937520616863,29.920245235070272,22.040256991314035,23.68321019590115
25.59627895381893,26.002592402716264,27.049141050342254,20.332327638501237
24.327835991839226,28.563281186000893,23.390884856633626,23.149228416357396
26.661844882245504,24.795267550503606,23.187104152348418,24.457060547763355
25.56734889730308,25.432224367032735,21.87986688498263,26.387627616843847
25.865915625897095,24.786866128322316,23.03403163145614,25.508056049128736
25.23397276542604,25.23557136100395,22.092986836662543,26.691320395881004
25.520605425128792,24.78155421260975,23.734136554438884,25.18593220577741
25.078269326896493,25.12567140701663,22.90169769465313,26.145397908340424
25.942474591413678,24.14051324163779,23.504419550429766,25.63462718529879
25.518956210679466,25.067157366147732,22.82508762402239,25.804123258174926
25.67635413553884,24.27333908465914,23.86359321744986,25.42104057991087
25.34507817417452,25.043862246761122,23.251762639789558,25.58797050417864
25.94394695643056,24.348592326908513,23.649611966814334,25.279680705552398
25.625190213773454,24.60139237916597,23.1436377702157,25.854509695035738
25.736747845841627,24.430546405140056,23.89463975885468,25.165459984262014
25.103212214791526,24.65651573746326,23.79915227723997,25.687109023108455
25.25068099400884,24.498410543022246,24.412276362551584,25.083180249240897
25.25068099400884,24.498410543022246,24.412276362551584,25.083180249240897
25.379836114971543,24.024456790644944,24.95147937983767,24.893645036477796
25.17553399876028,24.56743172643569,24.456086406003628,25.04705992080091
25.300165891206024,24.12592398364754,24.94828954794979,24.875229921423582
25.116828346585322,24.32328011469517,24.496010789965887,25.31604642048128
25.5223432876831,23.92322455063745,24.6647998511239,25.13649897883951
25.334782877677,24.12240777169146,24.260076998142445,25.532115181402325
25.43382962472418,23.76308276515548,24.704705746807793,25.348676515436836
25.26236975302214,24.227782323611073,24.315537348062442,25.44430415047446
25.36081502019129,23.880849471699975,24.73297587457762,25.27588857929154
25.202274790895306,24.06247178188916,24.36531138112842,25.623445362709784
25.543677748133625,23.736441773749398,24.51736597450107,25.451333869103937
25.380478917314456,23.919395393156833,24.17718217839523,25.774864987777637
25.46436075978485,23.857199067177625,24.565001170102153,25.362390876524948
25.311821367994572,24.02627345770942,24.23493566998804,25.678495161776368
25.623179599785225,23.725603130198195,24.383614628298442,25.515397162988908
25.466325931419497,24.124323579425802,24.070367237493066,25.58738571787061
25.539840362577458,23.83086122346755,24.443289982909846,25.434234937765666
25.392005861965515,23.991426535435135,24.139007742854126,25.728123400246574
25.46784173746322,23.71192802254466,24.498152521098213,25.57139172094942
25.327370757852623,23.874939944405497,24.198486560851755,25.851589795902857
25.614586947579234,23.604360908196995,24.337894181920547,25.691664302260264
25.469233967879166,23.982193247087,24.049593236252154,25.7492085240949
25.744072529099146,23.712126106484032,24.193872968473016,25.597567668782126
25.594752433266283,24.076769747479606,23.917858283116466,25.659015824151574
25.655668827502218,23.809724019168737,24.267888709297665,25.514693935984436
25.51332942068977,24.162795424883946,23.9932654587836,25.57929057295112
25.57731751410686,23.896058579598282,24.131596555482798,25.643770489707194
25.44116689319749,24.239414623162283,23.86710648207604,25.701287281553014
25.7049613464106,23.970273921933057,24.014193315552998,25.55847325090534
25.56418271697768,24.305370059070235,23.75825306198749,25.619536394244317
25.62378225240234,24.23563175994889,24.10027020286865,25.28749648143934
25.488584555176423,24.3580999791995,23.845953036625396,25.554534307684346
25.551232055883872,24.09213178276905,24.18227125830341,25.42226790893318
25.420755519116206,24.41368604593791,23.924565313847143,25.488440637554813
25.486086271228878,24.147742430160935,24.253568026428027,25.36064559276822
25.359835193173055,24.27203644443856,23.997229503675538,25.619489771239483
25.427740691138073,24.01435974695658,24.128035972775294,25.678744315928117
25.30524757275482,24.143861363053006,23.87865400471434,25.92217783276154
25.375397574110995,23.89314331821888,24.205462960008536,25.775358534716613
25.256039398478595,24.21814209053811,23.95221883264878,25.823552750908593
25.328019320461223,24.155649188587418,24.270691343340687,25.49431240647045
25.21169424751942,24.465085194204033,24.016461832752217,25.55532440618947
25.470523066891303,24.38907604263359,24.14604754163007,25.241612943468667
25.348167599757364,24.49901247606049,23.900618995423645,25.49922425284371
25.414811117559637,24.237469274183727,24.220809627313884,25.374739958291627
25.29551014757402,24.539892826251645,23.97118089049257,25.440668792073243
25.548513150369324,24.275532998328934,24.104033998244727,25.319315748278225
25.42344071878543,24.574994880824693,23.860271917655886,25.38759560410088
25.670272515918775,24.310025018607362,23.99780368792614,25.269025786924036
25.53993224934069,24.606884225720997,23.759202792560966,25.33944682847434
25.596900402683765,24.343493485930612,24.083226606044626,25.22358741466235
25.47030442301967,24.454028438029173,23.843858572695083,25.47820919680358
25.53050352975766,24.19794408726804,24.162690645955475,25.35638267926746
25.407226130735353,24.31479738869282,23.92054253257082,25.604684178318006
25.470356025730574,24.065168961858312,24.23476495086045,25.47741084572125
25.350045505683394,24.187802506076764,23.99005157012285,25.7201282303328
25.41583678510401,23.943894956159752,24.300175863246334,25.587868115228794
25.298181854210622,24.071829580410384,24.053095130953015,25.82563760443074
25.36639230615734,24.017822796041784,24.357296684949535,25.50606216910564
25.251237063437003,24.325596108181276,24.10638536334254,25.56463566030565
25.321188728000347,24.26003207024913,24.224366172159748,25.441876799422523
25.208481103850673,24.372993081682854,23.981493136270252,25.684713354050842
25.280193312516534,24.122517369551275,24.29045255295008,25.554566912159952
25.16942137239079,24.42431363679924,24.04311508405627,25.610941029476432
25.422955839694954,24.35245113699648,24.16795117519062,25.303548809265422
25.30589650137676,24.46104733329967,23.928117123623693,25.551540056052673
25.372899105145276,24.389597268168092,24.23673362325602,25.2475318783955
25.258220777213264,24.49635779722634,23.99433564556807,25.49753353242542
25.32731834517081,24.423379530200602,24.299369570840028,25.19657110952786
25.214803232183694,24.528476738265425,24.054620873564733,25.44841781094334
25.465569471136778,24.270604892864547,24.18070824049771,25.32960816823114
25.346812440499857,24.38263033914447,23.940905871253563,25.575737159062943
25.59213575828279,24.31281893071189,24.06990808308581,25.271211562480115
25.467683787469355,24.60402719798542,23.83282177664584,25.34009661510989
25.52699180503681,24.52620307242146,24.145319836392712,25.047290539240482
25.405579714352193,24.62660782058441,23.907397047786965,25.304994984546802
25.467690956786758,24.367115915526465,24.218167232736235,25.19300301725081
25.169956246072363,24.657216390804983,24.153451786052702,25.265129940059225
25.242783675881732,24.577209371842397,24.449696681826577,24.976518107261978
25.134353518334322,24.855129200268056,24.19756363137879,25.05830593576084
